PM 01:35:18    9.0908 g 
PM 01:35:18    9.0908 g 
PM 01:35:19    9.0906 g 
PM 01:35:20    9.0902 g 
PM 01:35:20    9.0902 g 
PM 01:35:21    9.0902 g 
PM 01:35:22    9.0902 g 
PM 01:35:22    9.0902 g 
PM 01:35:23    9.0902 g 
PM 01:35:23    9.0902 g 
PM 01:35:24    9.0902 g 
PM 01:35:25    9.0902 g 
PM 01:35:25    9.0902 g 
PM 01:35:26    9.0902 g 
PM 01:35:27    9.0901 g 
PM 01:35:27    9.0901 g 
PM 01:35:28    9.0900 g 
PM 01:35:29    9.0899 g 
PM 01:35:29    9.0899 g 
PM 01:35:30    9.0899 g 
PM 01:35:31    9.0897 g 
PM 01:35:31    9.0897 g 
PM 01:35:32    9.0897 g 
PM 01:35:32    9.0897 g 
PM 01:35:33    9.0897 g 
PM 01:35:34    9.0897 g 
PM 01:35:34    9.0897 g 
PM 01:35:35    9.0897 g 
PM 01:35:36    9.0897 g 
PM 01:35:36    9.0897 g 
PM 01:35:37    9.0896 g 
PM 01:35:38    9.0895 g 
PM 01:35:38    9.0895 g 
PM 01:35:39    9.0895 g 
PM 01:35:39    9.0894 g 
PM 01:35:40    9.0890 g 
PM 01:35:41    9.0890 g 
PM 01:35:41    9.0890 g 
PM 01:35:42    9.0890 g 
PM 01:35:43    9.0890 g 
PM 01:35:43    9.0890 g 
PM 01:35:44    9.0890 g 
PM 01:35:45    9.0890 g 
PM 01:35:45    9.0890 g 
PM 01:35:46    9.0890 g 
PM 01:35:47    9.0889 g 
PM 01:35:47    9.0889 g 
PM 01:35:48    9.0889 g 
PM 01:35:48    9.0889 g 
PM 01:35:49    9.0889 g 
PM 01:35:50    9.0889 g 
PM 01:35:50    9.0889 g 
PM 01:35:51    9.0889 g 
PM 01:35:52    9.0889 g 
PM 01:35:52    9.0888 g 
PM 01:35:53    9.0887 g 
PM 01:35:54    9.0887 g 
PM 01:35:54    9.0887 g 
PM 01:35:55    9.0886 g 
PM 01:35:55    9.0886 g 
PM 01:35:56    9.0886 g 
PM 01:35:57    9.0886 g 
PM 01:35:57    9.0886 g 
PM 01:35:58    9.0884 g 
PM 01:35:59    9.0884 g 
PM 01:35:59    9.0883 g 
PM 01:36:00    9.0883 g 
PM 01:36:01    9.0883 g 
PM 01:36:01    9.0883 g 
PM 01:36:02    9.0879 g 
PM 01:36:03    9.0879 g 
PM 01:36:03    9.0879 g 
PM 01:36:04    9.0879 g 
PM 01:36:04    9.0879 g 
PM 01:36:05    9.0879 g 
PM 01:36:06    9.0879 g 
PM 01:36:06    9.0878 g 
PM 01:36:07    9.0878 g 
PM 01:36:08    9.0878 g 
PM 01:36:08    9.0877 g 
PM 01:36:09    9.0877 g 
PM 01:36:10    9.0877 g 
PM 01:36:10    9.0877 g 
PM 01:36:11    9.0877 g 
PM 01:36:11    9.0877 g 
